AGENTE,FECHA,FECHA_IDX,gen_mes,comp_bols_mes,comp_cont_mes,comp_recon_mes,demanda_real_mes,comp_cont_reg_mes,vent_cont_SICEP_mes,vent_cont_no_reg_mes,vent_cont_ener_mes,precio_bolsa_mes,precio_prom_cont_reg_mes,precio_prom_cont_no_reg_mes,pandemia,ONI,PANDEMIA,Demanda_UPME,EXP_BOLSA
BTGC,2010-01-01,1.0,0.0,-0.43869911245642923,-0.44571897849145703,0.0,0.0,0.0,-0.21193623249629875,-0.44571897849145703,-0.4674232089292092,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
CHVG,2010-01-01,1.0,0.12628340409512054,0.38660271383363054,-0.9483457685467527,0.31003960036291683,0.6064634694050153,0.0,-0.507139324428937,-0.9483457685467527,0.07899048253323838,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.33279635160681154
CMMC,2010-01-01,1.0,0.0,-0.6436921426885551,-0.6438949033252603,0.0,-0.6439078496807839,-0.6438920266105453,0.0,-0.6438875976712111,-0.4218004195808117,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
CNSC,2010-01-01,1.0,0.0,-0.1579849277938069,0.27448149601946814,0.0,0.2470420689781184,0.25483747525448386,0.0,1.3472343034907,-0.23780191091069083,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.021172368763153798
CSIC,2010-01-01,1.0,0.0,-0.26016873543208485,-0.2602123349759861,0.0,-0.2602398573618177,-0.26020485991411063,-0.14105367350152742,-0.26023761662787276,-0.14049464688326646,-0.9116935323223823,-1.7183081610977136,-1.5908892486050006,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
EMIC,2010-01-01,1.0,0.0,0.43034858880457233,0.2460440608162767,0.0,0.2816666272305605,0.19122240288527453,0.0,0.4564309362682218,-0.5304956012251185,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.5757790037174629
EMIG,2010-01-01,1.0,-0.6600856728137386,0.13653086503447626,0.4858306728402734,0.0,0.0,0.0,-0.21429084873982437,0.4858306728402734,0.3469134293454939,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0236681546678162
EMSC,2010-01-01,1.0,0.0,0.43874184872639205,0.14772735665592024,0.0,0.2245562418877067,0.15163839614411517,0.0,0.09419125524646181,-0.12186308301874399,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.4419628164498462
EMUG,2010-01-01,1.0,0.12376669193910657,0.6476522640891901,0.8890964136588926,1.1167514871777569,0.2849894574956958,0.0,-0.14106796085953568,0.8890964136588926,0.37352628970742985,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.2151802026119656
ENDC,2010-01-01,1.0,0.0,-0.6098311113384962,0.14511354980837315,0.0,0.13808876991043362,-0.5079122861934185,0.0,0.18819803531470536,0.0,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.0
ENDG,2010-01-01,1.0,0.18025043810701605,0.3874719524326032,0.1656508682534122,0.2905833139885554,0.1781623557635647,0.0,-0.6507326478206507,0.1656508682534122,0.16733661422794902,-0.24712670509833987,-0.4875942384067194,-0.5109317151022952,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.5796573493531979
EPMC,2010-01-01,1.0,0.0,0.04423776478233335,0.2603951845625213,0.0,0.24763165908295753,0.27629471917183945,0.0,0.23501556230331866,0.0,-0.24666167242464485,-0.487652712135784,-0.5106145214814612,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.031195070065002446
EPMG,2010-01-01,1.0,0.21522493820797398,0.35434295025696094,0.36132912796401645,0.40575593849716624,0.2674108181523593,0.0,-0.5601752017072757,0.36132912796401645,0.22711169496555905,-0.24576096558785251,-0.4876165900307804,-0.5106466439851647,0.0,1.8268712649560865,0.0,-1.7732341358041683,0.14859112673087158
